ID_1,Name,W1_mean,W1_sig,W2_mean,W2_sig,W4,W4_sig,Rad,Tdust,logLbol,LogMclump,logNH2,Dis,Fmax,Fmin,Var,Count,ref
610,311.643-0.380,12.400 ,0.061 ,9.764 ,0.019 ,-0.550 ,0.015 ,0.65 ,29.6 ,5.15 ,3.61 ,22.50 ,13.29 ,15.0 ,10.0 ,1.5 ,4,"MMB,C95B,M92A,W97"
611,311.729-0.735,10.075 ,0.017 ,9.120 ,0.014 ,1.124 ,0.013 ,--,--,--,--,--,13.23 ,0.8 ,0.8 ,1.0 ,1,MMB
614,312.108+0.262,12.485 ,0.056 ,9.291 ,0.016 ,1.390 ,0.020 ,0.38 ,21.2 ,3.18 ,2.40 ,22.46 ,4.10 ,22.9 ,22.9 ,1.0 ,1,MMB
615,312.307+0.661,10.511 ,0.019 ,8.468 ,0.014 ,-0.679 ,0.012 ,0.04 ,30.1 ,2.56 ,0.96 ,22.20 ,10.44 ,3.8 ,3.8 ,1.0 ,1,MMB
621,313.469+0.190,11.528 ,0.041 ,7.335 ,0.013 ,0.057 ,0.014 ,0.53 ,25.8 ,4.51 ,3.21 ,22.38 ,10.45 ,26.3 ,14.0 ,1.9 ,4,"MMB,C95B,M92A,W97"
623,313.705-0.190,10.456 ,0.024 ,7.272 ,0.013 ,0.198 ,0.018 ,0.39 ,26.9 ,3.54 ,2.48 ,22.41 ,3.92 ,1.7 ,1.7 ,1.0 ,1,MMB
627,314.221+0.273,9.639 ,0.019 ,6.992 ,0.013 ,--,--,0.98 ,25.4 ,4.75 ,3.43 ,23.11 ,4.01 ,2.7 ,2.7 ,1.0 ,1,MMB
631,316.381-0.379,11.261 ,0.026 ,9.649 ,0.018 ,2.112 ,0.024 ,0.87 ,23.8 ,4.32 ,3.52 ,22.10 ,11.83 ,38.0 ,22.5 ,1.7 ,2,"MMB,C95B"
637,317.061+0.256,10.362 ,0.030 ,9.182 ,0.020 ,1.480 ,0.027 ,0.27 ,21.3 ,3.05 ,2.21 ,22.37 ,3.33 ,1.0 ,1.0 ,1.0 ,1,MMB
640,318.043-1.404,10.809 ,0.020 ,8.903 ,0.014 ,--,--,0.77 ,--,--,--,--,16.42 ,7.8 ,7.5 ,1.0 ,3,"MMB,C95B,W97"
657,321.148-0.529,10.245 ,0.039 ,8.260 ,0.022 ,--,--,0.63 ,25.5 ,4.24 ,3.10 ,22.49 ,3.64 ,9.6 ,7.4 ,1.3 ,3,"MMB,C95B,G93"
660,322.705-0.331,10.755 ,0.025 ,9.459 ,0.020 ,--,--,1.01 ,25.2 ,4.55 ,3.28 ,22.33 ,1.34 ,2.0 ,2.0 ,1.0 ,1,MMB
662,323.740-0.263,8.900 ,0.015 ,5.140 ,0.021 ,-2.192 ,0.004 ,0.61 ,26.0 ,4.40 ,3.08 ,23.25 ,3.14 ,3544.0 ,2721.0 ,1.3 ,6,"MMB,C95B,G04,M92AB,V11,W97"
