ID,Name,MJD,W1mag,W1mag err,W1flux,W1flux err,W2,W2 sig,W2flux,W2flux err
42,4.569-0.079,57102.0 ,12.338 ,0.204 ,3.587 ,0.731 ,10.404 ,0.050 ,11.842 ,0.591 
42,4.569-0.079,57278.5 ,12.308 ,0.221 ,3.687 ,0.816 ,10.376 ,0.043 ,12.155 ,0.527 
42,4.569-0.079,57466.3 ,12.364 ,0.207 ,3.504 ,0.726 ,10.404 ,0.050 ,11.838 ,0.586 
42,4.569-0.079,57637.9 ,12.176 ,0.213 ,4.165 ,0.888 ,10.471 ,0.057 ,11.133 ,0.639 
42,4.569-0.079,57832.0 ,12.467 ,0.218 ,3.186 ,0.695 ,10.509 ,0.051 ,10.751 ,0.551 
42,4.569-0.079,58000.9 ,12.363 ,0.226 ,3.506 ,0.792 ,10.469 ,0.049 ,11.155 ,0.551 
42,4.569-0.079,58197.6 ,12.412 ,0.255 ,3.350 ,0.853 ,10.658 ,0.056 ,9.374 ,0.523 
42,4.569-0.079,58361.5 ,12.391 ,0.197 ,3.416 ,0.674 ,10.584 ,0.058 ,10.028 ,0.584 
42,4.569-0.079,58561.9 ,12.758 ,0.246 ,2.437 ,0.600 ,10.622 ,0.045 ,9.689 ,0.436 
42,4.569-0.079,58725.5 ,12.317 ,0.196 ,3.658 ,0.716 ,10.573 ,0.053 ,10.134 ,0.536 
42,4.569-0.079,58928.8 ,12.367 ,0.194 ,3.493 ,0.676 ,10.444 ,0.048 ,11.411 ,0.548 
42,4.569-0.079,59092.5 ,12.361 ,0.208 ,3.513 ,0.731 ,10.443 ,0.042 ,11.424 ,0.481 
42,4.569-0.079,59293.0 ,12.442 ,0.260 ,3.260 ,0.847 ,10.533 ,0.047 ,10.515 ,0.494 
42,4.569-0.079,59456.8 ,12.428 ,0.231 ,3.301 ,0.761 ,10.378 ,0.048 ,12.127 ,0.584 
44,4.676+0.276,56737.9 ,8.733 ,0.018 ,99.250 ,1.767 ,5.786 ,0.020 ,833.049 ,16.605 
44,4.676+0.276,56919.4 ,8.705 ,0.018 ,101.834 ,1.858 ,5.783 ,0.018 ,835.071 ,15.240 
44,4.676+0.276,57101.8 ,8.737 ,0.018 ,98.882 ,1.810 ,5.766 ,0.022 ,848.302 ,18.663 
44,4.676+0.276,57279.0 ,8.711 ,0.018 ,101.265 ,1.831 ,5.798 ,0.020 ,823.614 ,16.129 
44,4.676+0.276,57466.0 ,8.744 ,0.019 ,98.298 ,1.868 ,5.846 ,0.018 ,787.949 ,14.547 
44,4.676+0.276,57637.2 ,8.650 ,0.019 ,107.096 ,2.043 ,5.732 ,0.022 ,875.429 ,18.990 
44,4.676+0.276,57831.8 ,8.640 ,0.019 ,108.172 ,2.037 ,5.677 ,0.021 ,920.523 ,19.178 
44,4.676+0.276,58000.7 ,8.658 ,0.019 ,106.373 ,1.973 ,5.817 ,0.020 ,809.586 ,15.897 
44,4.676+0.276,58197.3 ,8.599 ,0.018 ,112.257 ,2.031 ,5.629 ,0.021 ,962.557 ,19.864 
44,4.676+0.276,58361.2 ,8.570 ,0.019 ,115.344 ,2.139 ,5.670 ,0.020 ,926.732 ,18.282 
44,4.676+0.276,58562.2 ,8.615 ,0.018 ,110.605 ,2.008 ,5.803 ,0.017 ,819.665 ,13.871 
44,4.676+0.276,58726.1 ,8.638 ,0.017 ,108.323 ,1.881 ,5.661 ,0.020 ,934.837 ,18.697 
44,4.676+0.276,58928.6 ,8.663 ,0.018 ,105.915 ,1.906 ,5.810 ,0.019 ,814.749 ,15.752 
44,4.676+0.276,59092.3 ,8.644 ,0.019 ,107.785 ,1.994 ,5.849 ,0.017 ,785.640 ,13.290 
44,4.676+0.276,59292.8 ,8.670 ,0.019 ,105.146 ,2.015 ,5.886 ,0.017 ,759.609 ,13.103 
44,4.676+0.276,59456.6 ,8.603 ,0.019 ,111.929 ,2.075 ,5.836 ,0.015 ,795.409 ,12.298 
47,5.630-0.294,56739.4 ,9.926 ,0.030 ,33.090 ,0.990 ,8.325 ,0.017 ,80.375 ,1.332 
47,5.630-0.294,56920.3 ,9.920 ,0.030 ,33.268 ,0.983 ,8.305 ,0.016 ,81.865 ,1.302 
47,5.630-0.294,57102.7 ,9.843 ,0.027 ,35.695 ,0.953 ,8.307 ,0.016 ,81.694 ,1.295 
47,5.630-0.294,57279.8 ,9.959 ,0.030 ,32.079 ,0.949 ,8.352 ,0.016 ,78.407 ,1.287 
47,5.630-0.294,57466.8 ,9.786 ,0.025 ,37.616 ,0.946 ,8.309 ,0.015 ,81.538 ,1.261 
47,5.630-0.294,57638.7 ,9.941 ,0.030 ,32.619 ,0.969 ,8.350 ,0.017 ,78.522 ,1.305 
47,5.630-0.294,57832.9 ,9.908 ,0.029 ,33.645 ,0.986 ,8.271 ,0.016 ,84.442 ,1.358 
47,5.630-0.294,58001.6 ,9.956 ,0.031 ,32.180 ,1.003 ,8.285 ,0.016 ,83.392 ,1.327 
47,5.630-0.294,58198.2 ,9.934 ,0.028 ,32.844 ,0.928 ,8.330 ,0.016 ,79.957 ,1.266 
47,5.630-0.294,58362.1 ,9.983 ,0.032 ,31.382 ,1.004 ,8.322 ,0.015 ,80.560 ,1.208 
47,5.630-0.294,58562.9 ,9.932 ,0.030 ,32.891 ,0.998 ,8.391 ,0.016 ,75.621 ,1.245 
47,5.630-0.294,58726.9 ,9.981 ,0.031 ,31.453 ,0.967 ,8.414 ,0.015 ,74.010 ,1.135 
47,5.630-0.294,58929.4 ,9.980 ,0.031 ,31.479 ,0.966 ,8.369 ,0.016 ,77.149 ,1.264 
47,5.630-0.294,59093.3 ,9.981 ,0.027 ,31.455 ,0.847 ,8.362 ,0.015 ,77.653 ,1.178 
47,5.630-0.294,59293.7 ,9.962 ,0.029 ,31.991 ,0.925 ,8.416 ,0.016 ,73.862 ,1.163 
47,5.630-0.294,59457.5 ,9.954 ,0.029 ,32.245 ,0.943 ,8.395 ,0.016 ,75.328 ,1.199 
48,5.657+0.416,56738.5 ,8.679 ,0.017 ,104.336 ,1.813 ,5.282 ,0.027 ,1325.151 ,35.779 
48,5.657+0.416,56919.7 ,8.786 ,0.019 ,94.549 ,1.836 ,5.515 ,0.023 ,1068.949 ,24.408 
