ID_1,Name,Type,Period,Period_sig,amp,amp_sig,Frac_amp_1,Slope,Slope_sig,R^2,W1_mean,W1_sig,W2_mean,W2_sig,W2_delta,SD/sig,W4,W4_sig,Dis,Dis_err,Rad,Tdust,logLbol,logMclump,logNH2,Fmax,Fmin,Var,N,ref
728,331.134+0.156,SL,2470.4 ,119.4 ,-0.148 ,0.008 ,-0.128 ,-1.10E-04,9.38E-06,0.76 ,13.124 ,0.418 ,9.199 ,0.167 ,0.659 ,5.150 ,3.320 ,0.027 ,9.88 ,0.49 ,2.11 ,18.3 ,3.97 ,3.79 ,22.65 ,2.0 ,2.0 ,1.0 ,1,MMB
730,331.342-0.346,Line,--,--,--,--,--,-1.21E-04,1.13E-05,0.69 ,9.971 ,0.154 ,6.198 ,0.176 ,0.461 ,1.569 ,-0.465 ,0.077 ,10.17 ,0.41 ,0.98 ,26.3 ,4.52 ,2.96 ,22.65 ,124.1 ,48.0 ,2.6 ,5,"MMB,C95B,E96,M92A,W97"
733,331.442-0.187,SL,2235.9 ,115.9 ,-0.121 ,0.010 ,-0.105 ,1.83E-04,1.12E-05,0.86 ,13.209 ,0.431 ,9.061 ,0.166 ,0.606 ,3.603 ,--,--,5.02 ,0.42 ,1.78 ,19.5 ,4.18 ,3.52 ,23.17 ,81.0 ,54.4 ,1.5 ,4,"MMB,P05,V95,M03"
744,332.352-0.117,SL,1215.1 ,132.9 ,0.020 ,0.009 ,0.019 ,6.17E-05,8.35E-06,0.89 ,8.814 ,0.144 ,6.441 ,0.107 ,0.199 ,1.341 ,0.199 ,0.023 ,2.87 ,0.26 ,0.60 ,27.9 ,3.89 ,2.51 ,22.37 ,6.6 ,6.6 ,1.0 ,1,MMB
746,332.560-0.148,SL,1351.9 ,32.7 ,0.090 ,0.008 ,0.086 ,-4.93E-05,7.64E-06,0.68 ,11.613 ,0.281 ,8.908 ,0.108 ,0.265 ,1.702 ,0.717 ,0.024 ,3.01 ,0.24 ,0.47 ,21.0 ,3.34 ,2.81 ,22.50 ,6.8 ,3.1 ,2.2 ,3,"MMB,M03,P05"
747,332.583+0.147,SL,702.2 ,14.8 ,-0.038 ,0.006 ,-0.034 ,6.18E-05,5.23E-06,0.76 ,13.268 ,0.323 ,9.836 ,0.074 ,0.238 ,1.731 ,3.840 ,0.074 ,2.82 ,0.28 ,0.27 ,18.3 ,2.53 ,2.25 ,22.45 ,7.1 ,7.1 ,1.0 ,1,MMB
752,332.813-0.701,Sin,1767.8 ,100.5 ,0.038 ,0.005 ,0.036 ,--,--,0.61 ,10.400 ,0.188 ,7.443 ,0.066 ,0.158 ,1.249 ,0.702 ,0.032 ,2.99 ,0.25 ,0.71 ,22.3 ,3.72 ,2.75 ,22.49 ,12.9 ,12.9 ,1.0 ,1,MMB
761,333.029-0.063,SL,2000.0 ,349.5 ,0.027 ,0.011 ,0.025 ,6.58E-05,1.00E-05,0.82 ,8.360 ,0.132 ,6.291 ,0.113 ,0.181 ,1.242 ,-1.267 ,0.020 ,2.81 ,0.28 ,0.43 ,30.8 ,4.10 ,2.40 ,22.51 ,10.0 ,1.8 ,5.4 ,3,"MMB,M03,P05"
762,333.068-0.447,SL,1228.0 ,100.5 ,-0.246 ,0.074 ,-0.203 ,4.36E-04,8.07E-05,0.77 ,9.906 ,0.222 ,4.899 ,0.687 ,1.632 ,1.546 ,-2.444 ,--,2.99 ,0.23 ,1.52 ,--,--,--,--,24.5 ,10.0 ,2.5 ,3,"MMB,C95B,P05"
771,333.184-0.091,Sin,17452.8 ,38069.3 ,-2.000 ,8.415 ,-0.842 ,--,--,0.86 ,9.686 ,0.232 ,6.862 ,0.145 ,0.484 ,3.155 ,1.781 ,0.057 ,4.81 ,0.38 ,0.86 ,23.7 ,4.06 ,3.14 ,22.62 ,12.5 ,1.9 ,6.6 ,3,"MMB,M03,P05"
772,333.234-0.060,SL,2797.0 ,473.4 ,-0.084 ,0.016 ,-0.075 ,-1.09E-04,2.30E-05,0.79 ,12.268 ,0.251 ,7.178 ,0.135 ,0.352 ,3.012 ,1.405 ,0.033 ,4.82 ,0.38 ,--,--,--,--,--,9.6 ,1.8 ,5.3 ,4,"MMB,C95B,M03,P05"
