ID_1,Name,Type,Period,Period_sig,amp,amp_sig,Frac_amp_1,Slope,Slope_sig,R^2,W1_mean,W1_sig,W2_mean,W2_sig,W2_delta,SD/sig,W4,W4_sig,Dis,Dis_err,Rad,Tdust,logLbol,logMclump,logNH2,Fmax,Fmin,Var,N,ref
26,1.147-0.124,SL,2264.1 ,240.9 ,0.040 ,0.007 ,0.037 ,-2.37E-05,6.33E-06,0.62 ,10.346 ,0.192 ,6.974 ,0.079 ,0.157 ,1.557 ,--,--,3.72 ,0.26 ,--,--,--,--,--,10.0 ,2.6 ,3.8 ,2,"M03,P05"
29,2.143+0.009,SL,3263.4 ,2704.4 ,-0.065 ,0.107 ,-0.058 ,-1.04E-04,1.29E-04,0.85 ,10.753 ,0.215 ,8.173 ,0.110 ,0.234 ,1.265 ,--,--,11.10 ,0.24 ,--,--,--,--,--,11.0 ,6.7 ,1.6 ,3,"M91,P05,MMB"
47,5.630-0.294,SL,2153.2 ,283.9 ,-0.032 ,0.008 ,-0.029 ,3.15E-05,7.81E-06,0.64 ,9.932 ,0.144 ,8.341 ,0.090 ,0.145 ,1.198 ,1.034 ,0.019 ,2.94 ,0.16 ,0.14 ,28.0 ,3.15 ,1.97 ,22.19 ,1.3 ,0.8 ,1.6 ,2,"MMB,B12B"
48,5.657+0.416,SL,1610.9 ,126.2 ,0.088 ,0.023 ,0.085 ,1.46E-04,2.05E-05,0.70 ,8.767 ,0.081 ,5.555 ,0.251 ,0.525 ,1.324 ,1.196 ,0.017 ,3.60 ,0.28 ,--,--,--,--,--,1.9 ,1.9 ,1.0 ,1,MMB
73,10.205-0.345,Line,--,--,--,--,--,-2.79E-04,8.32E-06,0.97 ,12.577 ,0.482 ,9.402 ,0.246 ,0.764 ,4.618 ,-1.016 ,--,4.83 ,0.23 ,0.91 ,26.0 ,4.64 ,3.31 ,22.66 ,1.3 ,1.3 ,1.0 ,1,MMB
89,10.958+0.022,SL,1693.1 ,157.9 ,0.012 ,0.004 ,0.011 ,3.31E-05,3.30E-06,0.90 ,10.744 ,0.142 ,8.239 ,0.047 ,0.092 ,1.331 ,-0.869 ,0.010 ,13.38 ,0.26 ,0.60 ,26.9 ,4.02 ,2.62 ,22.70 ,20.2 ,13.4 ,1.5 ,6,"S93,W97,S00,M03,MMB,S12"
91,11.109-0.114,SL,1559.3 ,21.7 ,-0.178 ,0.009 ,-0.151 ,1.00E-04,7.56E-06,0.81 ,11.867 ,0.406 ,7.924 ,0.162 ,0.649 ,4.936 ,1.736 ,0.040 ,12.43 ,0.26 ,0.62 ,15.8 ,2.84 ,3.01 ,22.80 ,26.0 ,6.9 ,3.8 ,3,"E07,MMB,S12"
117,13.713-0.083,SL,2155.2 ,131.5 ,0.039 ,0.005 ,0.036 ,5.02E-05,4.43E-06,0.88 ,11.209 ,0.180 ,7.671 ,0.064 ,0.177 ,1.795 ,--,--,3.85 ,0.21 ,0.76 ,23.4 ,3.72 ,2.83 ,22.42 ,12.6 ,3.4 ,3.7 ,3,"S00,MMB,S12"
129,15.094+0.192,Line,--,--,--,--,--,4.89E-04,3.36E-05,0.77 ,8.240 ,0.323 ,5.458 ,0.492 ,1.916 ,2.035 ,0.957 ,0.017 ,13.31 ,0.24 ,--,--,--,--,--,18.6 ,13.6 ,1.4 ,2,"MMB,S12"
131,15.665-0.499,SL,2458.8 ,237.0 ,-0.039 ,0.005 ,-0.036 ,7.95E-05,5.24E-06,0.96 ,12.250 ,0.337 ,9.230 ,0.082 ,0.225 ,1.904 ,1.369 ,0.020 ,4.89 ,0.24 ,--,19.4 ,--,--,22.85 ,47.7 ,33.0 ,1.4 ,5,"S00,P05,F10,MMB,S12"
133,16.302-0.196,Line,--,--,--,--,--,-1.94E-04,1.12E-05,0.66 ,10.254 ,0.241 ,6.888 ,0.206 ,0.807 ,3.716 ,1.228 ,0.022 ,3.80 ,0.36 ,0.16 ,21.7 ,2.61 ,1.81 ,21.99 ,8.1 ,8.1 ,1.0 ,1,S12
136,16.662-0.331,Sin,6000.0 ,3558.0 ,-0.095 ,0.087 ,-0.084 ,--,--,0.72 ,11.758 ,0.202 ,9.688 ,0.065 ,0.158 ,1.610 ,1.914 ,0.026 ,4.03 ,0.28 ,--,--,--,--,--,2.6 ,2.6 ,1.0 ,1,MMB
137,16.831+0.079,Sin,2875.4 ,839.5 ,-0.020 ,0.007 ,-0.018 ,--,--,0.63 ,10.465 ,0.145 ,8.967 ,0.064 ,0.060 ,1.094 ,1.550 ,0.018 ,3.83 ,0.31 ,1.38 ,22.9 ,4.27 ,3.50 ,22.45 ,4.4 ,2.7 ,1.6 ,2,"MMB,S12"
147,18.262-0.244,SL,3073.0 ,547.7 ,0.073 ,0.016 ,0.070 ,8.68E-05,2.06E-05,0.70 ,10.320 ,0.118 ,7.615 ,0.089 ,0.280 ,2.230 ,1.530 ,0.043 ,3.96 ,0.29 ,1.80 ,19.6 ,4.43 ,3.80 ,22.79 ,23.1 ,23.0 ,1.0 ,2,"MMB,S12"
148,18.341+1.768,Sin,5000.0 ,4132.5 ,0.518 ,0.635 ,0.612 ,--,--,0.72 ,4.384 ,0.869 ,1.106 ,0.423 ,1.258 ,1.467 ,-2.452 ,0.018 ,1.99 ,0.08 ,--,--,--,--,--,99.3 ,34.1 ,2.9 ,6,"V95,S99,S00,M03,F10,MMB"
158,18.999-0.239,Line,--,--,--,--,--,4.21E-04,8.65E-06,0.93 ,9.841 ,0.773 ,7.179 ,0.356 ,1.183 ,9.846 ,--,--,4.22 ,0.36 ,0.24 ,18.9 ,2.80 ,2.34 ,22.21 ,0.9 ,0.9 ,1.0 ,1,MMB
159,19.009-0.029,SL,763.5 ,12.4 ,0.049 ,0.006 ,0.046 ,9.08E-05,4.93E-06,0.83 ,11.899 ,0.275 ,7.221 ,0.097 ,0.310 ,2.056 ,1.131 ,0.021 ,4.16 ,0.39 ,1.08 ,23.9 ,4.10 ,3.20 ,22.68 ,20.4 ,9.1 ,2.2 ,2,"MMB,S12"
166,19.496+0.115,SL,1805.3 ,69.0 ,-0.072 ,0.009 ,-0.064 ,7.96E-05,7.53E-06,0.88 ,13.096 ,0.576 ,9.181 ,0.098 ,0.297 ,3.313 ,0.908 ,0.026 ,9.42 ,0.33 ,2.47 ,24.7 ,4.78 ,3.60 ,22.26 ,5.6 ,3.7 ,1.5 ,3,"MMB,S12,S14"
170,19.614+0.011,Sin,3138.3 ,383.9 ,-0.066 ,0.011 ,-0.059 ,--,--,0.59 ,12.728 ,0.514 ,10.761 ,0.121 ,0.218 ,1.215 ,3.906 ,0.036 ,3.33 ,0.42 ,--,--,--,--,--,3.8 ,3.8 ,1.0 ,1,MMB
177,20.239+0.065,SL,1686.9 ,204.5 ,0.020 ,0.006 ,0.019 ,6.30E-05,5.86E-06,0.89 ,10.454 ,0.130 ,6.705 ,0.086 ,0.242 ,1.493 ,0.832 ,0.016 ,4.41 ,0.39 ,--,--,--,--,--,100.0 ,49.2 ,2.0 ,3,"C95B,S12,B15"
180,20.926-0.050,SL,1321.9 ,9.9 ,0.366 ,0.012 ,0.401 ,-1.34E-04,1.04E-05,0.90 ,10.732 ,0.269 ,7.125 ,0.313 ,0.980 ,6.008 ,1.576 ,0.024 ,13.09 ,0.31 ,--,--,--,--,--,8.9 ,4.1 ,2.2 ,2,"B15,Y19"
182,21.023-0.063,Sin,2260.7 ,34.0 ,-0.185 ,0.008 ,-0.156 ,--,--,0.85 ,13.519 ,0.536 ,9.111 ,0.141 ,0.466 ,4.210 ,1.017 ,0.009 ,11.70 ,0.30 ,--,--,--,--,--,5.7 ,2.2 ,2.6 ,2,"B15,Y19"
183,21.407-0.254,SL,1670.7 ,86.6 ,-0.037 ,0.006 ,-0.033 ,4.49E-05,5.36E-06,0.81 ,12.066 ,0.233 ,10.543 ,0.073 ,0.165 ,1.325 ,3.365 ,0.044 ,8.58 ,2.34 ,0.48 ,22.5 ,3.64 ,2.75 ,22.07 ,14.5 ,5.2 ,2.8 ,3,"B15,P05,S12"
210,24.329+0.144,Sin,3000.0 ,130.7 ,0.828 ,0.056 ,1.144 ,--,--,0.82 ,13.666 ,0.442 ,8.010 ,0.599 ,1.794 ,31.268 ,0.391 ,0.021 ,6.74 ,1.06 ,1.62 ,23.8 ,4.79 ,3.65 ,23.06 ,100.0 ,6.7 ,14.9 ,5,"B15,CAS09,C95B,P05,Y19"
213,24.541+0.312,Sin,2758.3 ,192.6 ,-0.066 ,0.010 ,-0.059 ,--,--,0.60 ,10.128 ,0.212 ,7.776 ,0.084 ,0.241 ,1.457 ,1.265 ,0.026 ,5.86 ,0.71 ,0.68 ,22.8 ,3.68 ,3.06 ,22.25 ,36.0 ,12.5 ,2.9 ,3,"B15,S00,S12"
223,25.226+0.288,SL,1232.1 ,35.4 ,0.056 ,0.006 ,0.053 ,2.24E-05,6.07E-06,0.62 ,9.431 ,0.057 ,8.466 ,0.076 ,0.195 ,1.609 ,2.979 ,0.063 ,3.73 ,0.69 ,0.73 ,18.8 ,3.41 ,2.93 ,22.77 ,3.2 ,0.7 ,4.6 ,2,"B15,S14"
232,25.710+0.044,Sin,2801.2 ,348.9 ,-0.092 ,0.012 ,-0.081 ,--,--,0.68 ,11.664 ,0.728 ,7.633 ,0.118 ,0.220 ,1.341 ,-0.818 ,0.012 ,5.77 ,0.70 ,1.39 ,29.0 ,5.06 ,3.48 ,22.47 ,607.0 ,225.0 ,2.7 ,5,"B15,M03,P05,S02,Y19"
238,26.527-0.267,Sin,3522.9 ,529.1 ,-0.024 ,0.004 ,-0.022 ,--,--,0.66 ,9.377 ,0.120 ,7.067 ,0.045 ,0.082 ,1.240 ,--,--,6.26 ,0.45 ,0.77 ,23.8 ,3.89 ,3.24 ,22.18 ,9.0 ,3.2 ,2.8 ,3,"B15,P05,S12"
239,26.598-0.024,SL,634.8 ,12.6 ,0.049 ,0.008 ,0.046 ,-6.85E-05,6.84E-06,0.81 ,9.803 ,0.126 ,6.643 ,0.104 ,0.306 ,1.535 ,-0.714 ,0.013 ,12.72 ,0.29 ,0.17 ,26.9 ,3.09 ,1.79 ,22.37 ,14.7 ,8.8 ,1.7 ,6,"B15,C00,F10,S00,S12,Y19"
260,28.532+0.129,Sin,3000.0 ,54.4 ,-0.290 ,0.008 ,-0.235 ,--,--,0.86 ,10.559 ,0.281 ,7.594 ,0.228 ,0.745 ,9.254 ,1.555 ,0.018 ,12.49 ,0.27 ,--,--,--,--,--,2.4 ,1.3 ,1.9 ,4,"B15,B15,S12,Y19"
269,29.320-0.162,SL,1617.5 ,38.7 ,-0.069 ,0.006 ,-0.061 ,-1.75E-04,4.94E-06,0.93 ,11.717 ,0.260 ,8.088 ,0.146 ,0.459 ,4.476 ,1.355 ,0.019 ,10.62 ,0.37 ,--,23.4 ,--,--,22.09 ,8.5 ,2.0 ,4.3 ,4,"B15,P05,S12,Y19"
298,30.972-0.142,SL,1527.3 ,92.4 ,-0.030 ,0.005 ,-0.027 ,-4.47E-05,5.19E-06,0.80 ,10.825 ,0.264 ,7.642 ,0.062 ,0.127 ,1.341 ,0.048 ,0.021 ,4.97 ,0.67 ,1.60 ,14.8 ,3.84 ,3.61 ,22.84 ,25.8 ,14.2 ,1.8 ,3,"B15,S12,Y19"
299,30.973+0.562,SL,1589.2 ,60.1 ,-0.129 ,0.014 ,-0.112 ,1.29E-04,1.37E-05,0.74 ,8.984 ,0.113 ,5.928 ,0.185 ,0.385 ,1.584 ,0.592 ,0.018 ,12.38 ,0.30 ,0.08 ,25.6 ,2.31 ,0.85 ,22.05 ,1.0 ,0.6 ,1.5 ,2,"B15,Y19"
311,32.045+0.059,SL,1558.3 ,115.9 ,-0.133 ,0.031 ,-0.116 ,3.63E-04,2.87E-05,0.97 ,10.866 ,0.179 ,5.400 ,0.395 ,0.772 ,1.515 ,0.139 ,0.026 ,5.11 ,0.49 ,1.63 ,20.7 ,4.62 ,3.77 ,23.15 ,163.3 ,79.4 ,2.1 ,5,"B15,P05,S02,S12,Y19"
323,33.093-0.073,Sin,686.2 ,20.0 ,0.064 ,0.024 ,0.061 ,--,--,0.64 ,12.329 ,0.258 ,9.125 ,0.061 ,0.131 ,1.695 ,1.030 ,0.014 ,6.82 ,0.57 ,--,--,--,--,--,30.0 ,12.2 ,2.5 ,6,"B15,C95B,M03,S00,S12,Y19"
346,35.197-0.743n,SL,586.7 ,19.1 ,-0.080 ,0.022 ,-0.071 ,9.65E-05,2.00E-05,0.81 ,8.597 ,0.120 ,5.802 ,0.229 ,0.408 ,1.204 ,--,--,2.12 ,0.19 ,--,--,--,--,--,560.0 ,107.0 ,5.2 ,6,"B15,C95B,E07,M03,M91,P05"
348,35.247-0.237,Sin,1672.1 ,41.7 ,-0.063 ,0.006 ,-0.056 ,--,--,0.77 ,11.920 ,0.111 ,9.587 ,0.066 ,0.147 ,1.536 ,1.998 ,0.019 ,4.85 ,0.61 ,--,--,--,--,--,2.0 ,1.5 ,1.3 ,4,"B15,P07,S12,Y19"
364,37.043-0.035,Sin,18431.1 ,69752.6 ,-1.284 ,9.130 ,-0.694 ,--,--,0.80 ,11.741 ,0.226 ,9.508 ,0.149 ,0.478 ,1.917 ,2.095 ,0.022 ,4.55 ,0.56 ,0.79 ,19.7 ,3.70 ,3.19 ,22.67 ,9.6 ,6.0 ,1.6 ,4,"B15,O14,P11,Y19"
369,37.479-0.105,SL,1780.3 ,126.3 ,0.049 ,0.009 ,0.046 ,6.14E-05,8.96E-06,0.76 ,13.046 ,0.318 ,10.192 ,0.108 ,0.252 ,1.854 ,2.498 ,0.027 ,9.23 ,0.49 ,0.75 ,22.2 ,3.96 ,3.21 ,22.35 ,12.5 ,3.5 ,3.5 ,7,"B15,P07,P11,P05,S02,S12,Y19,"
371,37.554+0.201,SL,777.6 ,27.3 ,-0.231 ,0.044 ,-0.191 ,-1.19E-04,4.62E-05,0.63 ,7.342 ,0.342 ,2.311 ,0.486 ,0.913 ,1.323 ,-2.288 ,0.005 ,4.42 ,0.51 ,1.08 ,22.5 ,4.36 ,3.29 ,22.91 ,14.7 ,4.0 ,3.7 ,7,"B15,F10,M03,P07,P05,S99,Y19,"
372,37.598+0.425,Sin,1371.4 ,45.9 ,-0.085 ,0.010 ,-0.075 ,--,--,0.54 ,10.770 ,0.072 ,9.433 ,0.101 ,0.271 ,1.719 ,1.524 ,0.018 ,4.58 ,0.52 ,0.21 ,25.5 ,3.53 ,2.43 ,22.18 ,24.3 ,11.2 ,2.2 ,6,"B15,P07,P05,S02,S12,Y19"
379,38.119-0.229,Sin,772.1 ,12.2 ,0.052 ,0.005 ,0.049 ,--,--,0.76 ,9.565 ,0.090 ,7.100 ,0.062 ,0.158 ,1.571 ,0.275 ,0.010 ,4.29 ,0.51 ,0.41 ,26.6 ,4.00 ,2.62 ,22.27 ,7.8 ,1.9 ,4.0 ,5,"B15,P07,S00,S12,Y19"
385,38.598-0.212,SL,1208.7 ,33.5 ,-0.075 ,0.009 ,-0.067 ,-6.72E-05,8.43E-06,0.74 ,11.933 ,0.230 ,9.830 ,0.090 ,0.310 ,1.787 ,3.107 ,0.040 ,8.84 ,0.42 ,--,19.5 ,--,--,22.27 ,0.7 ,0.3 ,2.8 ,4,"B15,P07,P11,Y19"
386,38.653+0.088,SL,679.9 ,23.0 ,-0.030 ,0.007 ,-0.027 ,3.99E-05,6.55E-06,0.78 ,13.645 ,0.404 ,10.954 ,0.079 ,0.149 ,1.312 ,1.449 ,0.019 ,14.00 ,0.45 ,0.99 ,20.5 ,4.02 ,3.61 ,22.27 ,2.2 ,1.5 ,1.5 ,3,"B15,P07,S12"
389,39.388-0.141,Sin,2072.0 ,108.8 ,0.070 ,0.006 ,0.066 ,--,--,0.83 ,9.993 ,0.130 ,7.125 ,0.086 ,0.175 ,1.450 ,0.627 ,0.021 ,8.76 ,0.45 ,0.31 ,28.6 ,3.82 ,2.33 ,22.54 ,1.3 ,0.4 ,3.4 ,4,"B15,P07,S12,Y19"
392,40.282-0.219,SL,1761.4 ,69.9 ,-0.032 ,0.003 ,-0.029 ,-2.68E-05,3.35E-06,0.73 ,9.796 ,0.074 ,7.196 ,0.048 ,0.116 ,1.659 ,-0.259 ,0.014 ,8.41 ,0.50 ,0.65 ,24.6 ,4.51 ,3.34 ,23.08 ,24.5 ,0.6 ,40.1 ,5,"B15,P07,P05,S12,Y19"
393,40.425+0.700,SL,1304.3 ,77.1 ,-0.025 ,0.006 ,-0.023 ,5.47E-05,5.58E-06,0.86 ,10.694 ,0.118 ,8.281 ,0.073 ,0.186 ,1.528 ,-0.596 ,0.021 ,11.59 ,0.33 ,1.79 ,26.7 ,4.82 ,3.61 ,22.40 ,22.3 ,10.4 ,2.1 ,5,"B15,C00,M03,S00,Y19"
394,40.597-0.719,SL,2690.1 ,145.4 ,-0.169 ,0.012 ,-0.144 ,-1.51E-04,1.84E-05,0.98 ,10.540 ,0.127 ,8.304 ,0.129 ,0.430 ,2.725 ,-0.021 ,0.009 ,3.51 ,0.30 ,0.21 ,23.4 ,3.23 ,2.24 ,22.49 ,1.1 ,0.5 ,2.2 ,2,"B15,Y19"
395,40.622-0.138,SL,666.8 ,24.3 ,-0.036 ,0.009 ,-0.033 ,5.18E-05,8.98E-06,0.69 ,10.038 ,0.048 ,6.297 ,0.104 ,0.144 ,1.267 ,-1.842 ,0.004 ,1.92 ,0.07 ,1.70 ,26.0 ,5.00 ,3.68 ,22.74 ,26.0 ,5.9 ,4.4 ,8,"B15,C95B,M03,M91,P07,S00,S12,Y19"
400,41.123-0.220,SL,1458.5 ,68.5 ,0.055 ,0.009 ,0.052 ,4.29E-05,8.46E-06,0.63 ,12.096 ,0.223 ,10.393 ,0.094 ,0.236 ,1.288 ,4.972 ,--,8.18 ,0.51 ,1.09 ,19.8 ,3.82 ,3.55 ,22.36 ,2.6 ,1.3 ,2.0 ,4,"B15,P07,P11,S12"
404,41.348-0.136,SL,689.8 ,21.6 ,-0.019 ,0.004 ,-0.017 ,3.38E-05,3.64E-06,0.82 ,9.943 ,0.032 ,9.560 ,0.048 ,0.103 ,1.497 ,2.419 ,0.020 ,11.12 ,0.36 ,0.55 ,21.0 ,3.71 ,3.03 ,22.21 ,17.8 ,14.1 ,1.3 ,3,"B15,P07,S12"
410,42.435-0.260,SL,718.6 ,45.0 ,-0.112 ,0.058 ,-0.098 ,1.92E-04,4.69E-05,0.66 ,6.122 ,0.389 ,4.867 ,0.433 ,0.720 ,1.168 ,-3.056 ,0.001 ,7.72 ,0.48 ,0.43 ,30.1 ,4.00 ,2.74 ,22.34 ,2.0 ,1.9 ,1.1 ,3,"B15,P07,P11"
422,43.795-0.127,SL,812.9 ,38.5 ,0.026 ,0.007 ,0.024 ,4.45E-05,7.00E-06,0.84 ,9.417 ,0.135 ,6.407 ,0.075 ,0.156 ,1.319 ,--,--,2.72 ,0.38 ,0.64 ,34.9 ,5.09 ,3.12 ,22.88 ,152.0 ,31.6 ,4.8 ,6,"B15,C95B,M91,P07,S00,S12"
427,45.380-0.594,SL,1691.1 ,31.4 ,-0.068 ,0.003 ,-0.061 ,8.31E-05,3.27E-06,0.89 ,10.895 ,0.101 ,7.917 ,0.080 ,0.249 ,3.585 ,1.604 ,0.017 ,7.07 ,0.81 ,--,19.7 ,--,--,22.37 ,2.3 ,2.3 ,1.0 ,1,B15
429,45.467+0.053,SL,755.0 ,13.8 ,-0.158 ,0.017 ,-0.136 ,8.91E-05,1.69E-05,0.89 ,11.021 ,0.134 ,8.924 ,0.214 ,0.592 ,1.466 ,2.854 ,--,7.44 ,0.56 ,2.08 ,29.0 ,5.63 ,3.86 ,22.92 ,5.7 ,3.0 ,1.9 ,5,"B15,C95B,M91,P07,S12"
433,45.804-0.356,SL,544.4 ,16.5 ,-0.019 ,0.005 ,-0.017 ,1.50E-05,4.57E-06,0.68 ,10.801 ,0.109 ,8.194 ,0.056 ,0.084 ,1.130 ,1.518 ,0.019 ,6.69 ,0.69 ,0.37 ,26.5 ,3.95 ,2.66 ,22.46 ,18.1 ,11.3 ,1.6 ,4,"B15,P07,S12,Y19"
435,46.115+0.387,SL,681.8 ,10.5 ,-0.041 ,0.005 ,-0.037 ,6.07E-05,4.07E-06,0.72 ,10.879 ,0.078 ,9.479 ,0.069 ,0.219 ,2.263 ,2.134 ,0.013 ,7.08 ,0.79 ,--,--,--,--,--,1.3 ,1.1 ,1.2 ,3,"B15,P07,S12"
436,46.32-0.25,Sin,2078.4 ,178.6 ,0.109 ,0.021 ,0.106 ,--,--,0.62 ,14.847 ,0.484 ,12.506 ,0.124 ,0.328 ,2.165 ,5.203 ,0.041 ,5.30 ,7.34 ,--,--,--,--,--,0.0 ,0.0 ,1.0 ,1,O14
442,49.265+0.311,SL,1545.0 ,49.3 ,0.083 ,0.008 ,0.079 ,1.72E-04,8.37E-06,0.85 ,10.908 ,0.193 ,7.950 ,0.171 ,0.486 ,4.455 ,1.922 ,0.012 ,9.98 ,0.61 ,0.00 ,20.6 ,-0.30 ,-1.00 ,22.42 ,8.1 ,6.2 ,1.3 ,4,"B15,P07,S12,Y19"
452,49.617-0.360,Sin,3550.9 ,205.9 ,-0.219 ,0.010 ,-0.182 ,--,--,0.81 ,10.241 ,0.279 ,8.551 ,0.202 ,0.579 ,3.074 ,1.671 ,0.035 ,5.47 ,0.32 ,0.25 ,21.0 ,3.11 ,2.46 ,22.12 ,1.2 ,0.8 ,1.5 ,2,"B15,P07"
456,50.779+0.152,SL,3173.6 ,861.6 ,0.058 ,0.019 ,0.055 ,-1.13E-04,2.09E-05,0.83 ,10.256 ,0.112 ,7.383 ,0.105 ,0.283 ,3.352 ,0.552 ,0.015 ,5.42 ,0.67 ,0.22 ,19.6 ,2.87 ,2.26 ,22.39 ,17.8 ,2.9 ,6.1 ,5,"B15,M98,P07,S12,Y19"
459,52.199+0.723,SL,3000.0 ,866.2 ,0.234 ,0.091 ,0.240 ,3.13E-04,1.15E-04,0.88 ,7.455 ,0.202 ,5.323 ,0.358 ,0.782 ,1.618 ,-0.718 ,0.020 ,9.64 ,0.38 ,0.96 ,25.0 ,4.53 ,3.31 ,22.36 ,5.3 ,4.2 ,1.3 ,3,"B15,S12,Y19"
460,52.663-1.092,Sin,3107.3 ,430.0 ,-0.080 ,0.011 ,-0.071 ,--,--,0.76 ,10.170 ,0.133 ,8.075 ,0.107 ,0.191 ,1.849 ,0.952 ,0.010 ,4.92 ,1.36 ,0.20 ,25.5 ,3.17 ,1.94 ,22.10 ,26.6 ,2.5 ,10.9 ,3,"B15,V96,Y19"
463,53.142+0.071,Sin,1533.1 ,54.0 ,-0.325 ,0.038 ,-0.258 ,--,--,0.73 ,7.591 ,0.234 ,3.309 ,0.416 ,0.942 ,1.313 ,-1.597 ,0.007 ,8.27 ,0.65 ,0.64 ,21.8 ,3.97 ,3.07 ,23.01 ,2.6 ,1.0 ,2.5 ,6,"B15,P07,S14,S00,S12,Y19"
464,53.618+0.035,SL,1338.3 ,72.6 ,0.049 ,0.009 ,0.046 ,9.86E-05,8.32E-06,0.82 ,9.955 ,0.171 ,6.904 ,0.120 ,0.274 ,1.602 ,0.199 ,0.024 ,8.60 ,0.60 ,0.60 ,21.1 ,3.59 ,2.81 ,22.67 ,18.9 ,0.9 ,21.5 ,5,"B15,P07,S14,S12,Y19"
467,58.775+0.644,Sin,20000.0 ,272395.4 ,-1.641 ,43.868 ,-0.779 ,--,--,0.61 ,8.798 ,0.379 ,6.302 ,0.145 ,0.287 ,1.204 ,--,--,3.15 ,0.37 ,0.25 ,28.1 ,3.43 ,1.99 ,22.50 ,6.3 ,2.8 ,2.3 ,4,"B15,S00,S12,Y19"
469,59.783+0.065,SL,3000.0 ,851.7 ,-0.247 ,0.085 ,-0.204 ,1.44E-04,1.12E-04,0.85 ,6.985 ,0.274 ,2.501 ,0.415 ,0.766 ,1.119 ,-2.657 ,0.002 ,3.21 ,0.72 ,0.66 ,23.6 ,3.93 ,2.87 ,23.02 ,103.0 ,14.5 ,7.1 ,7,"B15,C95B,G04,M91,S00,S12,Y19,"
470,59.833+0.672,SL,5998.1 ,9176.4 ,0.220 ,0.868 ,0.225 ,1.90E-04,5.73E-04,0.64 ,9.654 ,0.080 ,7.478 ,0.066 ,0.159 ,1.447 ,0.333 ,0.010 ,4.09 ,0.27 ,0.19 ,30.1 ,3.38 ,1.91 ,22.45 ,31.0 ,14.6 ,2.1 ,5,"B15,F10,S99,S12,Y19"
471,60.57-0.19,Line,--,--,--,--,--,2.00E-04,1.79E-05,0.64 ,8.169 ,0.073 ,5.404 ,0.295 ,0.831 ,1.534 ,-1.914 ,0.002 ,8.00 ,0.36 ,--,--,--,--,--,7.4 ,4.1 ,1.8 ,2,"S00,S12"
475,73.06+1.80,SL,2196.9 ,100.9 ,0.212 ,0.017 ,0.216 ,2.95E-04,1.64E-05,0.92 ,8.573 ,0.200 ,5.635 ,0.363 ,0.956 ,1.856 ,-1.315 ,0.007 ,3.08 ,0.63 ,--,--,--,--,--,32.0 ,1.6 ,20.0 ,5,"F10,S99,S00,S12,Y19"
477,78.122+3.633,Sin,4000.1 ,1940.6 ,0.263 ,0.147 ,0.275 ,--,--,0.66 ,7.554 ,0.198 ,3.488 ,0.548 ,0.609 ,1.114 ,-2.511 ,0.002 ,4.74 ,0.91 ,--,--,--,--,--,61.0 ,34.1 ,1.8 ,7,"F10,G04,S99,S00,S12,Y17,V08,"
492,108.184+5.519,SL,767.4 ,22.7 ,-0.059 ,0.011 ,-0.053 ,9.17E-05,1.01E-05,0.78 ,9.728 ,0.231 ,7.068 ,0.168 ,0.387 ,1.297 ,-0.033 ,0.015 ,0.82 ,0.07 ,--,--,--,--,--,109.0 ,42.1 ,2.6 ,5,"F10,S99,S12,V11,Y17"
511,189.471-1.216,SL,1744.1 ,201.3 ,-0.036 ,0.014 ,-0.032 ,1.12E-04,1.19E-05,0.85 ,15.876 ,0.348 ,13.308 ,0.155 ,0.343 ,1.425 ,3.771 ,0.021 ,2.10 ,0.03 ,--,--,--,--,--,2.1 ,2.1 ,1.0 ,1,MMB
523,254.880+0.451,SL,1457.5 ,34.6 ,0.045 ,0.004 ,0.042 ,5.39E-05,3.52E-06,0.75 ,12.467 ,0.147 ,9.482 ,0.063 ,0.195 ,1.786 ,1.400 ,0.008 ,3.08 ,0.76 ,--,--,--,--,--,1.8 ,1.8 ,1.0 ,1,MMB
525,263.250+0.514,Sin,5999.4 ,1455.5 ,-0.170 ,0.055 ,-0.145 ,--,--,0.88 ,8.166 ,0.117 ,7.025 ,0.112 ,0.321 ,1.567 ,--,--,3.03 ,0.40 ,--,--,--,--,--,82.0 ,54.0 ,1.5 ,4,"MMB,S93,V11,W97"
533,284.352-0.419,SL,806.4 ,45.1 ,-0.029 ,0.011 ,-0.026 ,-4.64E-05,8.79E-06,0.70 ,10.394 ,0.095 ,9.308 ,0.144 ,0.180 ,1.099 ,--,--,4.83 ,0.75 ,--,--,--,--,--,2.7 ,2.1 ,1.3 ,2,"MMB,C95B"
536,286.383-1.834,SL,1492.1 ,41.4 ,-0.052 ,0.006 ,-0.047 ,1.16E-04,4.66E-06,0.75 ,9.582 ,0.098 ,8.222 ,0.113 ,0.312 ,2.191 ,1.559 ,0.010 ,5.98 ,0.71 ,--,--,--,--,--,17.6 ,17.6 ,1.0 ,1,MMB
542,291.579-0.431,SL,767.9 ,51.8 ,0.030 ,0.010 ,0.028 ,-7.43E-05,1.03E-05,0.66 ,10.880 ,0.197 ,8.502 ,0.096 ,0.305 ,1.728 ,--,--,7.46 ,0.60 ,--,--,--,--,--,3.4 ,3.4 ,1.0 ,2,"C95B,P05"
