ID_1,Name,type,W1_mean,W1_sig,W2_mean,W2_sig,W2_delta,SD/sig,W4,W4_sig,Dis,Rad,T_dust,L_bol,LogM,LogNH2,Fmax,Fmin,Var,Count,ref
644,318.948-0.196,Drop,8.170 ,0.016 ,3.834 ,0.013 ,1.595 ,1.258 ,--,--,10.34 ,0.31 ,26.6 ,3.87 ,2.52 ,23.09 ,801.0 ,545.2 ,1.5 ,9,"MMB,C95B,G04,M92B,M03,P05,P98,V11,W97"
646,319.836-0.197,Irregular,12.357 ,0.101 ,8.449 ,0.015 ,0.185 ,2.160 ,--,--,12.01 ,0.02 ,31.6 ,2.36 ,0.76 ,22.23 ,0.7 ,0.4 ,1.6 ,5,"MMB,C95B,M03,P05,W97"
649,320.244-0.562,Irregular,6.485 ,0.022 ,4.062 ,0.013 ,1.102 ,1.179 ,-0.060 ,0.009 ,3.27 ,0.54 ,16.5 ,3.06 ,2.75 ,22.70 ,1.6 ,1.6 ,1.0 ,1,MMB
661,323.459-0.079,Irregular,3.416 ,0.086 ,0.708 ,0.125 ,1.454 ,1.232 ,-3.630 ,0.003 ,8.64 ,0.89 ,33.5 ,5.07 ,3.11 ,22.87 ,22.0 ,15.2 ,1.4 ,7,"MMB,C95B,E07,M92B,M03,P05,W97"
672,326.448-0.748,Irregular,7.700 ,0.016 ,3.501 ,0.012 ,0.868 ,1.246 ,-1.212 ,0.010 ,8.87 ,0.42 ,27.1 ,3.99 ,2.58 ,22.71 ,9.0 ,9.0 ,1.0 ,1,MMB
674,326.476+0.695,Drop,5.680 ,0.033 ,2.123 ,0.023 ,2.031 ,1.165 ,-1.996 ,0.005 ,3.03 ,--,--,--,--,--,150.0 ,108.5 ,1.4 ,5,"MMB,M03,P05,V95,V11"
681,327.282-0.469,Irregular,10.916 ,0.031 ,9.820 ,0.021 ,0.211 ,1.274 ,--,--,13.94 ,--,--,--,--,--,4.1 ,4.1 ,1.0 ,1,MMB
682,327.291-0.578,Irregular,11.238 ,0.100 ,7.620 ,0.016 ,0.465 ,1.541 ,-1.759 ,0.054 ,2.88 ,0.96 ,27.5 ,5.41 ,3.82 ,23.93 ,9.0 ,2.6 ,3.5 ,4,"MMB,C95B,M03,P05"
683,327.392+0.199,Irregular,10.001 ,0.023 ,7.453 ,0.018 ,0.300 ,1.281 ,0.784 ,0.010 ,7.59 ,0.84 ,19.9 ,3.94 ,3.25 ,22.93 ,11.4 ,11.4 ,1.0 ,1,MMB
684,327.395+0.197,Drop,7.399 ,0.024 ,4.657 ,0.023 ,1.640 ,1.348 ,-0.077 ,0.015 ,7.18 ,--,--,--,--,--,9.0 ,9.0 ,1.0 ,2,"MMB,P05"
